"","gene_short_name","num_cells_expressed","use_for_ordering"
"LAMTOR4","LAMTOR4",312,TRUE
"GAL3ST4","GAL3ST4",444,TRUE
"TSC22D4","TSC22D4",262,TRUE
"SAP25","SAP25",208,TRUE
"SLC12A9","SLC12A9",240,TRUE
"LHFPL3","LHFPL3",274,TRUE
"LINC01004","LINC01004",330,TRUE
"NAMPT","NAMPT",220,TRUE
"BCAP29","BCAP29",248,TRUE
"AC002463.1","AC002463.1",169,TRUE
"TMEM168","TMEM168",386,TRUE
"LSM8","LSM8",238,TRUE
"NDUFA5","NDUFA5",206,TRUE
"WASL","WASL",340,TRUE
"POT1","POT1",240,TRUE
"CALU","CALU",209,TRUE
"IRF5","IRF5",249,TRUE
"COPG2","COPG2",339,TRUE
"AUXG01000058.1","AUXG01000058.1",309,TRUE
"LINC00513","LINC00513",233,TRUE
"LINC-PINT","LINC-PINT",232,TRUE
"WDR91","WDR91",316,TRUE
"AC078845.1","AC078845.1",176,TRUE
"ZC3HAV1","ZC3HAV1",518,TRUE
"MKRN1","MKRN1",296,TRUE
"NDUFB2","NDUFB2",219,TRUE
"AC004918.1","AC004918.1",205,TRUE
"EPHB6","EPHB6",210,TRUE
"TCAF1","TCAF1",218,TRUE
"ZNF862","ZNF862",327,TRUE
"ATP6V0E2","ATP6V0E2",228,TRUE
"GIMAP4","GIMAP4",179,TRUE
"RHEB","RHEB",419,TRUE
"WDR60","WDR60",323,TRUE
"AGPAT5","AGPAT5",370,TRUE
"MTMR9","MTMR9",290,TRUE
"MSR1","MSR1",821,TRUE
"AC011586.2","AC011586.2",466,TRUE
"FGF20","FGF20",201,TRUE
"CNOT7","CNOT7",268,TRUE
"FGL1","FGL1",315,TRUE
"ASAH1","ASAH1",568,TRUE
"ATP6V1B2","ATP6V1B2",533,TRUE
"PHYHIP","PHYHIP",239,TRUE
"TNFRSF10B","TNFRSF10B",291,TRUE
"TNFRSF10D","TNFRSF10D",237,TRUE
"AC120193.1","AC120193.1",771,TRUE
"NEFL","NEFL",235,TRUE
"PNMA2","PNMA2",229,TRUE
"CLU","CLU",532,TRUE
"SARAF","SARAF",599,TRUE
"GSR","GSR",230,TRUE
"NRG1","NRG1",489,TRUE
"DDHD2","DDHD2",211,TRUE
"PLAT","PLAT",158,TRUE
